symbol,timestamp,open,high,low,close,volume,trade_count
600519.XSHG,2024-08-26 09:31:00,1368.37,1371.04,1367.55,1369.42,51307.0,70243678.0
600519.XSHG,2024-08-26 09:32:00,1370.87,1374.99,1370.87,1371.25,29316.0,40253579.0
600519.XSHG,2024-08-26 09:33:00,1370.3,1370.3,1368.37,1368.46,17397.0,23822381.0
600519.XSHG,2024-08-26 09:34:00,1369.33,1369.33,1364.72,1364.75,17811.0,24347246.0
600519.XSHG,2024-08-26 09:35:00,1364.72,1367.4,1364.5,1367.01,14498.0,19797183.0
600519.XSHG,2024-08-26 09:36:00,1366.45,1366.45,1364.39,1366.07,18640.0,25447120.0
600519.XSHG,2024-08-26 09:37:00,1366.07,1366.07,1364.5,1366.05,5592.0,7634029.0
600519.XSHG,2024-08-26 09:38:00,1365.85,1369.33,1365.85,1369.31,14912.0,20402169.0
600519.XSHG,2024-08-26 09:39:00,1369.31,1369.42,1366.59,1368.37,7870.0,10772347.0
600519.XSHG,2024-08-26 09:40:00,1366.67,1368.34,1365.03,1368.13,7145.0,9761511.0
600519.XSHG,2024-08-26 09:41:00,1366.01,1367.85,1365.18,1366.0,8491.0,11599955.0
600519.XSHG,2024-08-26 09:42:00,1366.0,1367.37,1365.9,1366.92,4556.0,6226989.0
600519.XSHG,2024-08-26 09:43:00,1365.85,1366.43,1365.08,1366.39,14299.0,19529384.0
600519.XSHG,2024-08-26 09:44:00,1366.41,1366.47,1365.68,1365.69,5592.0,7640360.0
600519.XSHG,2024-08-26 09:45:00,1365.64,1366.6,1365.62,1366.6,3655.0,4993712.0
600519.XSHG,2024-08-26 09:46:00,1366.43,1366.97,1366.17,1366.92,4732.0,6467027.0
600519.XSHG,2024-08-26 09:47:00,1366.92,1368.27,1366.92,1367.78,8595.0,11754100.0
600519.XSHG,2024-08-26 09:48:00,1368.27,1368.27,1367.78,1368.17,7352.0,10058443.0
600519.XSHG,2024-08-26 09:49:00,1368.17,1371.07,1368.16,1370.3,11184.0,15315430.0
600519.XSHG,2024-08-26 09:50:00,1370.3,1370.3,1369.84,1370.3,9423.0,12912527.0
600519.XSHG,2024-08-26 09:51:00,1370.3,1370.3,1369.35,1369.57,7870.0,10780728.0
600519.XSHG,2024-08-26 09:52:00,1369.41,1369.56,1368.38,1368.55,6006.0,8223494.0
600519.XSHG,2024-08-26 09:53:00,1369.32,1369.32,1368.55,1368.86,6420.0,8788805.0
600519.XSHG,2024-08-26 09:54:00,1368.82,1370.14,1368.82,1370.14,7042.0,9644298.0
600519.XSHG,2024-08-26 09:55:00,1370.14,1371.05,1370.14,1370.39,9009.0,12347032.0
600519.XSHG,2024-08-26 09:56:00,1370.4,1370.88,1369.67,1370.88,15015.0,20576850.0
600519.XSHG,2024-08-26 09:57:00,1370.42,1370.95,1369.03,1369.14,15015.0,20576550.0
600519.XSHG,2024-08-26 09:58:00,1369.09,1370.3,1369.09,1369.85,3521.0,4822265.0
600519.XSHG,2024-08-26 09:59:00,1370.18,1371.2,1370.18,1371.17,13358.0,18309005.0
600519.XSHG,2024-08-26 10:00:00,1371.17,1371.19,1370.95,1370.95,4142.0,5679278.0
600519.XSHG,2024-08-26 10:01:00,1370.95,1371.16,1370.18,1370.24,15326.0,21007933.0
600519.XSHG,2024-08-26 10:02:00,1370.29,1370.86,1370.29,1370.78,7145.0,9792244.0
600519.XSHG,2024-08-26 10:03:00,1370.72,1370.72,1370.18,1370.22,6938.0,9507535.0
600519.XSHG,2024-08-26 10:04:00,1369.84,1372.3,1369.78,1372.14,31171.0,42737097.0
600519.XSHG,2024-08-26 10:05:00,1372.23,1372.65,1371.77,1371.77,8491.0,11651829.0
600519.XSHG,2024-08-26 10:06:00,1371.8,1371.8,1370.78,1371.3,4660.0,6390207.0
600519.XSHG,2024-08-26 10:07:00,1370.81,1371.36,1370.8,1371.36,4453.0,6105940.0
600519.XSHG,2024-08-26 10:08:00,1371.35,1371.35,1370.3,1370.6,9009.0,12352976.0
600519.XSHG,2024-08-26 10:09:00,1370.3,1370.3,1368.79,1368.79,6110.0,8366622.0
600519.XSHG,2024-08-26 10:10:00,1368.79,1369.33,1368.15,1368.15,7249.0,9921297.0
600519.XSHG,2024-08-26 10:11:00,1367.4,1367.4,1365.52,1365.56,12841.0,17542842.0
600519.XSHG,2024-08-26 10:12:00,1365.56,1366.28,1364.55,1365.19,15637.0,21349923.0
600519.XSHG,2024-08-26 10:13:00,1364.61,1365.19,1362.74,1363.41,24439.0,33341193.0
600519.XSHG,2024-08-26 10:14:00,1362.85,1364.67,1362.85,1364.67,5281.0,7202520.0
600519.XSHG,2024-08-26 10:15:00,1365.23,1365.74,1364.34,1364.5,8595.0,11732821.0
