trade_date,symbol,entry_day,entry_time,entry_px,exit_day,exit_time,exit_px,ret
2024-08-27,600340.XSHG,2024-08-26,14:46:00,1.03,2024-08-27,14:56:00,1.03,-0.0006
2024-08-27,512760.XSHG,2024-08-26,14:46:00,0.743,2024-08-27,14:56:00,0.733,-0.014058950201884256
2024-08-27,159915.XSHE,2024-08-26,14:46:00,1.514,2024-08-27,14:56:00,1.501,-0.009186525759577412
2024-08-27,512800.XSHG,2024-08-26,14:46:00,0.664,2024-08-27,14:56:00,0.668,0.005424096385542244
2024-08-27,000333.XSHE,2024-08-26,14:46:00,63.29,2024-08-27,14:56:00,63.08,-0.00391805972507504
2024-08-28,000002.XSHE,2024-08-27,14:46:00,6.3,2024-08-28,14:56:00,6.22,-0.013298412698412764
2024-08-28,512760.XSHG,2024-08-27,14:46:00,0.731,2024-08-28,14:56:00,0.734,0.003503967168262557
2024-08-28,512690.XSHG,2024-08-27,14:46:00,0.53,2024-08-28,14:56:00,0.518,-0.02324150943396226
2024-08-28,600519.XSHG,2024-08-27,14:46:00,1355.81,2024-08-28,14:56:00,1341.97,-0.010807919988788894
2024-08-28,600000.XSHG,2024-08-27,14:46:00,8.63,2024-08-28,14:56:00,8.58,-0.006393742757821629
2024-08-29,000001.XSHE,2024-08-28,14:46:00,9.77,2024-08-29,14:56:00,9.63,-0.014929580348004023
2024-08-29,000002.XSHE,2024-08-28,14:46:00,6.21,2024-08-29,14:56:00,6.24,0.004230917874396157
2024-08-29,601166.XSHG,2024-08-28,14:46:00,16.41,2024-08-29,14:56:00,15.95,-0.02863168799512501
2024-08-29,600340.XSHG,2024-08-28,14:46:00,1.02,2024-08-29,14:56:00,1.01,-0.010403921568627416
2024-08-29,512760.XSHG,2024-08-28,14:46:00,0.733,2024-08-29,14:56:00,0.742,0.011678308321964637
2024-08-30,600837.XSHG,2024-08-29,14:46:00,8.42,2024-08-30,14:56:00,8.6,0.0207776722090262
2024-08-30,600340.XSHG,2024-08-29,14:46:00,1.01,2024-08-30,14:56:00,1.06,0.048904950495049546
2024-08-30,512760.XSHG,2024-08-29,14:46:00,0.742,2024-08-30,14:56:00,0.768,0.034440431266846414
2024-08-30,159915.XSHE,2024-08-29,14:46:00,1.512,2024-08-30,14:56:00,1.551,0.025193650793650702
2024-08-30,510500.XSHG,2024-08-29,14:46:00,4.558,2024-08-30,14:56:00,4.634,0.01607397981570873
2024-09-02,512010.XSHG,2024-08-30,14:46:00,0.322,2024-09-02,14:56:00,0.317,-0.01612795031055898
2024-09-02,600030.XSHG,2024-08-30,14:46:00,18.93,2024-09-02,14:56:00,18.6,-0.018032646592709933
2024-09-02,000002.XSHE,2024-08-30,14:46:00,6.77,2024-09-02,14:56:00,6.42,-0.052298670605612954
2024-09-02,600104.XSHG,2024-08-30,14:46:00,12.52,2024-09-02,14:56:00,12.13,-0.031750159744408826
2024-09-02,600837.XSHG,2024-08-30,14:46:00,8.59,2024-09-02,14:56:00,8.39,-0.023882887077997638
2024-09-03,600340.XSHG,2024-09-02,14:46:00,1.07,2024-09-03,14:56:00,1.06,-0.009945794392523365
2024-09-03,512010.XSHG,2024-09-02,14:46:00,0.317,2024-09-03,14:56:00,0.319,0.005709148264984188
2024-09-03,512690.XSHG,2024-09-02,14:46:00,0.527,2024-09-03,14:56:00,0.532,0.008887666034155629
2024-09-03,000002.XSHE,2024-09-02,14:46:00,6.43,2024-09-03,14:56:00,6.53,0.014952099533437058
2024-09-03,159928.XSHE,2024-09-02,14:46:00,0.702,2024-09-03,14:56:00,0.709,0.009371509971510084
2024-09-04,512010.XSHG,2024-09-03,14:46:00,0.319,2024-09-04,14:56:00,0.318,-0.0037347962382445303
2024-09-04,000333.XSHE,2024-09-03,14:46:00,62.91,2024-09-04,14:56:00,62.51,-0.006958289620092217
2024-09-04,600000.XSHG,2024-09-03,14:46:00,8.0,2024-09-04,14:56:00,8.09,0.010649999999999982
2024-09-04,600030.XSHG,2024-09-03,14:46:00,18.78,2024-09-04,14:56:00,18.8,0.00046496272630463023
2024-09-04,601318.XSHG,2024-09-03,14:46:00,41.3,2024-09-04,14:56:00,40.79,-0.012948668280871666
