date_buy,symbol,px_buy,date_sell,px_sell,ret_gross,ret_net
2024-09-02,000333.XSHE,62.22,2024-09-03,62.93,0.011411121825779524,0.010804366179685054
2024-09-02,512800.XSHG,0.628,2024-09-03,0.617,-0.017515923566879033,-0.018105325589171994
2024-09-02,600000.XSHG,8.14,2024-09-03,8.01,-0.01597051597051602,-0.016560845098280152
2024-09-02,601398.XSHG,5.7,2024-09-03,5.53,-0.029824561403508754,-0.030406579350877094
2024-09-02,601857.XSHG,8.52,2024-09-03,8.24,-0.032863849765258135,-0.03344404441314541
2024-09-03,000002.XSHE,6.52,2024-09-04,6.46,-0.009202453987730008,-0.009796843343558126
2024-09-03,000333.XSHE,62.93,2024-09-04,62.46,-0.007468615922453514,-0.008064045425075439
2024-09-03,159928.XSHE,0.709,2024-09-04,0.703,-0.008462623413258097,-0.009057456600846225
2024-09-03,512690.XSHG,0.533,2024-09-04,0.528,-0.009380863039399667,-0.009975145365853644
2024-09-03,600276.XSHG,44.42,2024-09-04,44.35,-0.0015758667266997373,-0.0021748313484916126
2024-09-04,159915.XSHE,1.525,2024-09-05,1.536,0.00721311475409836,0.006608877534426183
2024-09-04,510500.XSHG,4.579,2024-09-05,4.599,0.004367765887748565,0.003765235621314922
2024-09-04,600000.XSHG,8.08,2024-09-05,8.08,0.0,-0.0005999099999999258
2024-09-04,600030.XSHG,18.8,2024-09-05,18.79,-0.0005319148936171469,-0.0011315057925532779
2024-09-04,600276.XSHG,44.35,2024-09-05,44.84,0.01104847801578357,0.010441939923337307
2024-09-05,159915.XSHE,1.536,2024-09-06,1.508,-0.01822916666666663,-0.018818140807291606
2024-09-05,600104.XSHG,12.09,2024-09-06,12.22,0.010752688172043001,0.010146327526881826
2024-09-05,600276.XSHG,44.84,2024-09-06,44.24,-0.01338090990187335,-0.013972792560213998
2024-09-05,600340.XSHG,1.09,2024-09-06,1.07,-0.01834862385321101,-0.018937526330275123
2024-09-05,601318.XSHG,41.52,2024-09-06,41.36,-0.003853564547206201,-0.0044511627552986655
2024-09-06,600000.XSHG,8.18,2024-09-07,8.13,-0.006112469437652646,-0.006708712506112269
2024-09-06,600036.XSHG,29.95,2024-09-07,28.99,-0.0320534223706177,-0.03263410320200322
2024-09-06,600104.XSHG,12.22,2024-09-07,12.08,-0.011456628477905073,-0.012049665531914888
2024-09-06,600837.XSHG,8.75,2024-09-07,8.75,0.0,-0.0005999099999999258
2024-09-06,601398.XSHG,5.41,2024-09-07,5.38,-0.005545286506469571,-0.0061418698336414
2024-09-09,159915.XSHE,1.513,2024-09-10,1.512,-0.0006609385327164263,-0.001260452029081205
2024-09-09,510500.XSHG,4.504,2024-09-10,4.502,-0.000444049733570151,-0.001043693343694363
2024-09-09,512010.XSHG,0.316,2024-09-10,0.314,-0.006329113924050667,-0.006925227025316394
2024-09-09,512760.XSHG,0.723,2024-09-10,0.729,0.008298755186721962,0.007693866680497985
2024-09-09,600030.XSHG,18.67,2024-09-10,18.57,-0.005356186395286677,-0.00595288316550624
2024-09-10,000333.XSHE,57.95,2024-09-11,58.82,0.015012942191544365,0.014404025777394303
2024-09-10,512760.XSHG,0.729,2024-09-11,0.726,-0.004115226337448541,-0.004712667572016382
2024-09-10,512800.XSHG,0.609,2024-09-11,0.595,-0.02298850574712641,-0.0235746247126436
2024-09-10,600000.XSHG,8.25,2024-09-11,8.01,-0.029090909090909167,-0.029673367163636333
2024-09-10,601857.XSHG,7.47,2024-09-11,7.33,-0.018741633199464536,-0.01933029990629176
2024-09-11,000333.XSHE,58.82,2024-09-12,59.49,0.011390683441006466,0.010783940056103392
2024-09-11,159915.XSHE,1.528,2024-09-12,1.525,-0.0019633507853403787,-0.0025620829515706767
2024-09-11,512010.XSHG,0.315,2024-09-12,0.311,-0.012698412698412764,-0.013290704793650798
2024-09-11,600030.XSHG,18.69,2024-09-12,18.57,-0.006420545746388506,-0.0070166039967897165
2024-09-11,600276.XSHG,45.27,2024-09-12,44.81,-0.01016125469405793,-0.01075506885575439
2024-09-12,000001.XSHE,9.24,2024-09-13,9.2,-0.0043290043290044045,-0.004926317316017337
2024-09-12,000333.XSHE,59.49,2024-09-13,60.58,0.018322407127248308,0.01771150533198873
2024-09-12,600000.XSHG,8.22,2024-09-13,8.1,-0.014598540145985495,-0.015189692335766503
2024-09-12,601166.XSHG,15.32,2024-09-13,15.26,-0.003916449086161955,-0.004514009569190569
2024-09-12,601857.XSHG,7.41,2024-09-13,7.47,0.008097165991902688,0.007492398421052648
2024-09-13,000333.XSHE,60.58,2024-09-14,62.24,0.027401782766589777,0.026785434163090427
2024-09-13,512010.XSHG,0.31,2024-09-14,0.309,-0.003225806451612856,-0.0038237812580643737
2024-09-13,512800.XSHG,0.597,2024-09-14,0.604,0.011725293132328396,0.011118349011725481
2024-09-13,600036.XSHG,29.33,2024-09-14,29.82,0.01670644391408116,0.016096511551312753
2024-09-13,601318.XSHG,41.01,2024-09-14,41.79,0.019019751280175523,0.018408431141185178
2024-09-18,000002.XSHE,6.49,2024-09-19,6.77,0.04314329738058542,0.042517505285053936
2024-09-18,000333.XSHE,62.24,2024-09-19,62.27,0.00048200514138829753,-0.00011819401831614229
2024-09-18,600036.XSHG,29.82,2024-09-19,29.54,-0.009389671361502372,-0.009983948403755827
2024-09-18,600104.XSHG,11.72,2024-09-19,11.77,0.00426621160409546,0.0036637422610921178
2024-09-18,601318.XSHG,41.79,2024-09-19,42.1,0.007418042593922092,0.006813682435989454
2024-09-19,000002.XSHE,6.77,2024-09-20,6.89,0.017725258493352936,0.01711471493353023
2024-09-19,000333.XSHE,62.27,2024-09-20,63.01,0.011883732134253977,0.011276692964509394
2024-09-19,000858.XSHE,105.97,2024-09-20,105.37,-0.005661979805605344,-0.006258493127300091
2024-09-19,159928.XSHE,0.673,2024-09-20,0.67,-0.004457652303120341,-0.005054888112927092
