timestamp,from_weights,to_weights,turnover,cost_fraction,equity_after_cost
2025-11-26T03:00:00+00:00,{"BTC-USDT": 0.0, "ETH-USDT": 0.0, "SOL-USDT": 0.0, "XRP-USDT": 0.0, "DOGE-USDT": 0.0, "ADA-USDT": 0.0, "POL-USDT": 0.0},{"BTC-USDT": -0.06098706219232186, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},1.060987,0.000318,0.999682
2025-11-26T04:00:00+00:00,{"BTC-USDT": -0.06098706219232186, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.060561631150664486, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000425,0.000000,0.999716
2025-11-26T05:00:00+00:00,{"BTC-USDT": -0.060561631150664486, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.060440258922513035, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000121,0.000000,0.999484
2025-11-26T06:00:00+00:00,{"BTC-USDT": -0.060440258922513035, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.061232168599582915, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000792,0.000000,0.999425
2025-11-26T07:00:00+00:00,{"BTC-USDT": -0.061232168599582915, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06089611345340007, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000336,0.000000,0.999341
2025-11-26T08:00:00+00:00,{"BTC-USDT": -0.06089611345340007, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06089178890305369, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000004,0.000000,0.999666
2025-11-26T09:00:00+00:00,{"BTC-USDT": -0.06089178890305369, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06064210030723283, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000250,0.000000,0.999489
2025-11-26T10:00:00+00:00,{"BTC-USDT": -0.06064210030723283, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06084272138307667, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000201,0.000000,0.999388
2025-11-26T11:00:00+00:00,{"BTC-USDT": -0.06084272138307667, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.060936215131798366, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000093,0.000000,0.998708
2025-11-26T12:00:00+00:00,{"BTC-USDT": -0.060936215131798366, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06069833544540826, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000238,0.000000,0.998678
