label,fee,window,start,end,num_trades,total_return_pct,max_drawdown_pct,sharpe_ratio
sl0.005,0.0005,random_30d_seed7,2024-06-27,2024-07-27,206,1.7360894302243857,-7.412154071272658,1.1845752177321207
sl0.005,0.0005,random_30d_seed21,2024-01-16,2024-02-15,197,6.019472667412984,-6.63049184675314,2.8890697843209123
sl0.005,0.0005,random_30d_seed42,2025-05-16,2025-06-15,191,11.034703138916878,-3.5670703020874384,7.7515575947665365
sl0.005,0.0005,random_30d_seed99,2024-09-17,2024-10-17,204,2.6891204619942544,-5.312242541597023,1.7756203758310325
sl0.005,0.0005,random_30d_seed123,2023-09-23,2023-10-23,198,4.6514526800536915,-4.33916974281352,3.737717321858584
sl0.005,0.0005,random_30d_seed202,2024-08-29,2024-09-28,218,13.759003527888591,-3.3663242509949676,7.701819582178155
sl0.005,0.0005,random_30d_seed303,2023-09-02,2023-10-02,204,-1.4905948154983806,-5.5842403871223745,-0.8777752026787264
sl0.005,0.0005,random_30d_seed404,2023-10-29,2023-11-28,188,-9.517142364677333,-10.574902860206103,-6.163941513722637
sl0.005,0.0005,random_30d_seed505,2024-01-01,2024-01-31,194,9.641996376626283,-5.292557199850445,3.9930996701272057
sl0.005,0.0005,random_30d_seed606,2023-09-27,2023-10-27,196,3.592986145858945,-4.348669517168591,2.608405621938818
sl0.006,0.0005,random_30d_seed7,2024-06-27,2024-07-27,205,-0.4567810103404679,-8.509841196111223,-0.18555702846252395
sl0.006,0.0005,random_30d_seed21,2024-01-16,2024-02-15,196,5.3171137335235485,-5.77594008587371,2.6162210354191813
sl0.006,0.0005,random_30d_seed42,2025-05-16,2025-06-15,190,7.8788551555600606,-4.2932302894319925,5.099433999451734
sl0.006,0.0005,random_30d_seed99,2024-09-17,2024-10-17,203,1.9754389574513809,-5.3641524219401155,1.2255693709481839
sl0.006,0.0005,random_30d_seed123,2023-09-23,2023-10-23,198,4.869797418356603,-5.083803144994281,3.4626378924971366
sl0.006,0.0005,random_30d_seed202,2024-08-29,2024-09-28,216,12.95297154163395,-3.6558592936578815,6.540774993631412
sl0.006,0.0005,random_30d_seed303,2023-09-02,2023-10-02,202,-1.1661666138083615,-5.214142993400461,-0.6748008136695611
