label,fee,window,start,end,num_trades,total_return_pct,max_drawdown_pct,sharpe_ratio
baseline,0.0002,random_30d_seed7,2024-06-27,2024-07-27,206,-0.7976255212102878,-9.538211423426846,-0.3955141232642944
baseline,0.0002,random_30d_seed21,2024-01-16,2024-02-15,195,7.12300494981557,-4.914661877324433,3.4150551872760175
baseline,0.0002,random_30d_seed42,2025-05-16,2025-06-15,193,9.41740153864341,-3.792202436418013,5.568115498336663
baseline,0.0002,random_30d_seed99,2024-09-17,2024-10-17,211,1.5685420597272959,-4.81396886142631,1.0137888608196461
baseline,0.0002,random_30d_seed123,2023-09-23,2023-10-23,213,7.41367923414562,-3.961322064397743,4.457021020100617
baseline,0.0002,random_30d_seed202,2024-08-29,2024-09-28,222,11.795581824921243,-3.788607968111868,6.334965473625966
baseline,0.0002,random_30d_seed303,2023-09-02,2023-10-02,246,-2.6023407802561627,-5.19575349956386,-1.5485217401503022
baseline,0.0002,random_30d_seed404,2023-10-29,2023-11-28,187,-9.2166381348878,-9.651417674572759,-5.548842620774981
baseline,0.0002,random_30d_seed505,2024-01-01,2024-01-31,192,13.379487953542801,-5.048840915894259,5.140801899605433
baseline,0.0002,random_30d_seed606,2023-09-27,2023-10-27,208,6.8010448656356415,-3.963367189979783,3.6234738853096857
baseline_edge_0.0004,0.0002,random_30d_seed7,2024-06-27,2024-07-27,206,-0.7976255212102878,-9.538211423426846,-0.3955141232642944
baseline_edge_0.0004,0.0002,random_30d_seed21,2024-01-16,2024-02-15,195,7.12300494981557,-4.914661877324433,3.4150551872760175
baseline_edge_0.0004,0.0002,random_30d_seed42,2025-05-16,2025-06-15,193,9.41740153864341,-3.792202436418013,5.568115498336663
baseline_edge_0.0004,0.0002,random_30d_seed99,2024-09-17,2024-10-17,211,1.5685420597272959,-4.81396886142631,1.0137888608196461
baseline_edge_0.0004,0.0002,random_30d_seed123,2023-09-23,2023-10-23,213,7.41367923414562,-3.961322064397743,4.457021020100617
baseline_edge_0.0004,0.0002,random_30d_seed202,2024-08-29,2024-09-28,222,11.795581824921243,-3.788607968111868,6.334965473625966
baseline_edge_0.0004,0.0002,random_30d_seed303,2023-09-02,2023-10-02,246,-2.6023407802561627,-5.19575349956386,-1.5485217401503022
baseline_edge_0.0004,0.0002,random_30d_seed404,2023-10-29,2023-11-28,187,-9.2166381348878,-9.651417674572759,-5.548842620774981
baseline_edge_0.0004,0.0002,random_30d_seed505,2024-01-01,2024-01-31,192,13.379487953542801,-5.048840915894259,5.140801899605433
baseline_edge_0.0004,0.0002,random_30d_seed606,2023-09-27,2023-10-27,208,6.8010448656356415,-3.963367189979783,3.6234738853096857
baseline_edge_0.0006,0.0002,random_30d_seed7,2024-06-27,2024-07-27,206,-0.7976255212102878,-9.538211423426846,-0.3955141232642944
baseline_edge_0.0006,0.0002,random_30d_seed21,2024-01-16,2024-02-15,195,7.12300494981557,-4.914661877324433,3.4150551872760175
baseline_edge_0.0006,0.0002,random_30d_seed42,2025-05-16,2025-06-15,193,9.41740153864341,-3.792202436418013,5.568115498336663
baseline_edge_0.0006,0.0002,random_30d_seed99,2024-09-17,2024-10-17,211,1.5685420597272959,-4.81396886142631,1.0137888608196461
baseline_edge_0.0006,0.0002,random_30d_seed123,2023-09-23,2023-10-23,213,7.430549879784132,-3.961322064397743,4.466387013440905
baseline_edge_0.0006,0.0002,random_30d_seed202,2024-08-29,2024-09-28,222,11.795581824921243,-3.788607968111868,6.334965473625966
baseline_edge_0.0006,0.0002,random_30d_seed303,2023-09-02,2023-10-02,246,-2.586566076462604,-5.19575349956386,-1.53804213781807
baseline_edge_0.0006,0.0002,random_30d_seed404,2023-10-29,2023-11-28,187,-9.2166381348878,-9.651417674572759,-5.548842620774981
baseline_edge_0.0006,0.0002,random_30d_seed505,2024-01-01,2024-01-31,192,13.379487953542801,-5.048840915894259,5.140801899605433
baseline_edge_0.0006,0.0002,random_30d_seed606,2023-09-27,2023-10-27,208,6.81781916495412,-3.963367189979794,3.6317088748760415
baseline_edge_0.0008,0.0002,random_30d_seed7,2024-06-27,2024-07-27,206,-0.7976255212102878,-9.538211423426846,-0.3955141232642944
baseline_edge_0.0008,0.0002,random_30d_seed21,2024-01-16,2024-02-15,195,7.12300494981557,-4.914661877324433,3.4150551872760175
baseline_edge_0.0008,0.0002,random_30d_seed42,2025-05-16,2025-06-15,193,9.41740153864341,-3.792202436418013,5.568115498336663
baseline_edge_0.0008,0.0002,random_30d_seed99,2024-09-17,2024-10-17,211,1.5685420597272959,-4.81396886142631,1.0137888608196461
baseline_edge_0.0008,0.0002,random_30d_seed123,2023-09-23,2023-10-23,212,7.215691700327431,-3.9613220643977654,4.338036825183595
baseline_edge_0.0008,0.0002,random_30d_seed202,2024-08-29,2024-09-28,222,11.795581824921243,-3.788607968111868,6.334965473625966
baseline_edge_0.0008,0.0002,random_30d_seed303,2023-09-02,2023-10-02,240,-2.718653755869427,-5.195753499563849,-1.6246349876114445
baseline_edge_0.0008,0.0002,random_30d_seed404,2023-10-29,2023-11-28,187,-9.205645977427924,-9.640478160736777,-5.540028603976731
baseline_edge_0.0008,0.0002,random_30d_seed505,2024-01-01,2024-01-31,192,13.379487953542801,-5.048840915894259,5.140801899605433
baseline_edge_0.0008,0.0002,random_30d_seed606,2023-09-27,2023-10-27,207,6.684628167942597,-3.9633671899797385,3.5657510395548413
baseline_edge_0.0010,0.0002,random_30d_seed7,2024-06-27,2024-07-27,206,-0.7646132308486653,-9.538211423426713,-0.3751732075345724
baseline_edge_0.0010,0.0002,random_30d_seed21,2024-01-16,2024-02-15,195,7.12300494981557,-4.914661877324433,3.4150551872760175
baseline_edge_0.0010,0.0002,random_30d_seed42,2025-05-16,2025-06-15,193,9.45111431546406,-3.792202436418013,5.587806036468162
baseline_edge_0.0010,0.0002,random_30d_seed99,2024-09-17,2024-10-17,210,1.5831130764570878,-4.813968861426354,1.02214922445694
baseline_edge_0.0010,0.0002,random_30d_seed123,2023-09-23,2023-10-23,211,7.185598726974418,-3.961322064397743,4.3184107112548595
baseline_edge_0.0010,0.0002,random_30d_seed202,2024-08-29,2024-09-28,221,11.687497609726716,-3.88162535422677,6.293357579266527
baseline_edge_0.0010,0.0002,random_30d_seed303,2023-09-02,2023-10-02,234,-2.4813610475059256,-5.195753499563849,-1.4723170992768944
baseline_edge_0.0010,0.0002,random_30d_seed404,2023-10-29,2023-11-28,187,-9.157370417622657,-9.592433802169676,-5.51066444667052
baseline_edge_0.0010,0.0002,random_30d_seed505,2024-01-01,2024-01-31,192,13.379487953542801,-5.048840915894259,5.140801899605433
baseline_edge_0.0010,0.0002,random_30d_seed606,2023-09-27,2023-10-27,206,6.614981306592527,-3.9633671899797718,3.5271809457444876
baseline_edge_0.0012,0.0002,random_30d_seed7,2024-06-27,2024-07-27,206,-0.8002365106868581,-9.538211423426779,-0.39712180440189854
baseline_edge_0.0012,0.0002,random_30d_seed21,2024-01-16,2024-02-15,195,7.12300494981557,-4.914661877324433,3.4150551872760175
baseline_edge_0.0012,0.0002,random_30d_seed42,2025-05-16,2025-06-15,191,8.433353142861911,-3.7922024364181572,5.036772912921099
baseline_edge_0.0012,0.0002,random_30d_seed99,2024-09-17,2024-10-17,206,1.2471486554325395,-4.81396886142641,0.8380312247896009
baseline_edge_0.0012,0.0002,random_30d_seed123,2023-09-23,2023-10-23,203,6.795894791004997,-3.9613220643977987,4.106343311239397
baseline_edge_0.0012,0.0002,random_30d_seed202,2024-08-29,2024-09-28,218,11.599248199880542,-3.752152281414789,6.235662088026705
baseline_edge_0.0012,0.0002,random_30d_seed303,2023-09-02,2023-10-02,215,-2.7654461660942875,-5.200512755949771,-1.6572480739230622
baseline_edge_0.0012,0.0002,random_30d_seed404,2023-10-29,2023-11-28,186,-8.970389574260729,-9.474405429037125,-5.393132125237567
baseline_edge_0.0012,0.0002,random_30d_seed505,2024-01-01,2024-01-31,192,13.379487953542801,-5.048840915894259,5.140801899605433
baseline_edge_0.0012,0.0002,random_30d_seed606,2023-09-27,2023-10-27,200,6.363493867315406,-3.963367189979794,3.401937611765071
baseline,0.0005,random_30d_seed7,2024-06-27,2024-07-27,206,-1.4636389275670458,-9.85238706224817,-0.812856238377755
baseline,0.0005,random_30d_seed21,2024-01-16,2024-02-15,195,6.455050260354911,-5.038008106524727,3.119882114901387
baseline,0.0005,random_30d_seed42,2025-05-16,2025-06-15,193,8.685812916546443,-3.9376945752448433,5.1828759930146155
baseline,0.0005,random_30d_seed99,2024-09-17,2024-10-17,211,0.8318493445348629,-4.966348361603535,0.5889818224539489
baseline,0.0005,random_30d_seed123,2023-09-23,2023-10-23,213,6.636057250849436,-3.9800162408126227,4.018130086440301
baseline,0.0005,random_30d_seed202,2024-08-29,2024-09-28,222,10.940389412499329,-3.965437896630153,5.895265190214531
baseline,0.0005,random_30d_seed303,2023-09-02,2023-10-02,246,-3.398567365601135,-5.243336952038047,-2.062110425054376
baseline,0.0005,random_30d_seed404,2023-10-29,2023-11-28,187,-9.780985136288834,-10.143161017056634,-5.9245737840598505
