trade_id,timestamp,symbol,side,qty,price,notional,fee,comment
trade_1,2025-11-29 12:45:00,APTUSDT,BUY,104651.16279070,2.064000,216000.00,108.00,rebalance
trade_2,2025-11-29 12:45:00,BTC_USDT,SELL,-4.70565802,90624.200000,-426446.49,213.22,rebalance
trade_3,2025-11-29 13:00:00,APTUSDT,SELL,-444.83770564,2.073700,-922.46,0.46,rebalance
trade_4,2025-11-29 13:00:00,BTC_USDT,SELL,-0.00049514,90680.500000,-44.90,0.02,rebalance
trade_5,2025-11-29 13:15:00,APTUSDT,BUY,220.54686344,2.068900,456.29,0.23,rebalance
trade_6,2025-11-29 13:15:00,BTC_USDT,SELL,-0.00375713,90617.300000,-340.46,0.17,rebalance
trade_7,2025-11-29 13:30:00,APTUSDT,SELL,-200.61320359,2.072100,-415.69,0.21,rebalance
trade_8,2025-11-29 13:30:00,BTC_USDT,BUY,0.00820156,90768.300000,744.44,0.37,rebalance
trade_9,2025-11-29 14:00:00,APTUSDT,BUY,297.21871479,2.065000,613.76,0.31,rebalance
trade_10,2025-11-29 14:00:00,BTC_USDT,SELL,-0.00182354,90735.100000,-165.46,0.08,rebalance
trade_11,2025-11-29 14:30:00,APTUSDT,BUY,748.02843071,2.046800,1531.06,0.77,rebalance
trade_12,2025-11-29 14:30:00,BTC_USDT,BUY,0.00311322,90696.000000,282.36,0.14,rebalance
trade_13,2025-11-29 14:45:00,APTUSDT,BUY,520.60206181,2.034200,1059.01,0.53,rebalance
trade_14,2025-11-29 14:45:00,BTC_USDT,BUY,0.00334492,90677.000000,303.31,0.15,rebalance
