timestamp,type,side
2024-08-26 14:00:00,entry,1
2024-08-27 13:00:00,exit,-1
2024-08-27 14:30:00,entry,-1
2024-08-28 13:00:00,exit,-1
2024-08-28 14:45:00,entry,1
2024-08-29 13:00:00,exit,1
2024-08-29 14:00:00,entry,1
2024-09-03 09:30:00,exit,-1
2024-09-03 09:45:00,entry,1
2024-09-03 13:00:00,exit,1
2024-09-03 14:45:00,entry,1
2024-09-04 09:30:00,exit,1
2024-09-04 09:45:00,entry,-1
2024-09-04 13:00:00,exit,-1
2024-09-04 14:00:00,entry,-1
2024-09-05 09:30:00,exit,-1
2024-09-05 09:45:00,entry,-1
2024-09-05 13:00:00,exit,-1
2024-09-05 14:30:00,entry,1
2024-09-06 09:30:00,exit,1
2024-09-06 10:45:00,entry,-1
2024-09-06 13:00:00,exit,-1
2024-09-06 14:45:00,entry,-1
2024-09-09 13:00:00,exit,-1
2024-09-10 09:30:00,entry,1
2024-09-10 13:00:00,exit,1
2024-09-10 13:15:00,entry,-1
2024-09-13 13:00:00,exit,-1
2024-09-18 09:30:00,entry,-1
2024-09-19 13:00:00,exit,-1
2024-09-19 13:45:00,entry,-1
2024-09-20 09:30:00,exit,-1
2024-09-20 11:00:00,entry,-1
2024-09-23 13:00:00,exit,1
2024-09-23 13:30:00,entry,-1
2024-09-25 13:00:00,exit,1
2024-09-25 13:15:00,entry,-1
2024-10-08 13:00:00,exit,1
2024-10-08 13:15:00,entry,-1
2024-10-09 13:00:00,exit,-1
2024-10-09 14:30:00,entry,-1
2024-10-10 13:00:00,exit,1
2024-10-11 09:30:00,entry,-1
2024-10-14 09:30:00,exit,-1
2024-10-14 10:00:00,entry,-1
2024-10-14 13:00:00,exit,-1
2024-10-15 09:30:00,entry,-1
2024-10-15 13:00:00,exit,-1
2024-10-15 13:15:00,entry,-1
2024-10-16 13:00:00,exit,-1
2024-10-17 10:15:00,entry,-1
2024-10-17 13:00:00,exit,-1
2024-10-17 14:15:00,entry,-1
2024-10-18 09:30:00,exit,-1
2024-10-18 09:45:00,entry,-1
2024-10-21 09:30:00,exit,1
2024-10-21 14:00:00,entry,-1
2024-10-22 13:00:00,exit,1
2024-10-22 13:15:00,entry,-1
2024-10-24 13:00:00,exit,-1
2024-10-24 13:15:00,entry,-1
2024-10-28 13:00:00,exit,-1
2024-10-28 13:15:00,entry,1
2024-10-30 09:30:00,exit,-1
2024-10-30 09:45:00,entry,1
2024-10-31 09:30:00,exit,-1
2024-10-31 09:45:00,entry,-1
2024-10-31 13:00:00,exit,-1
2024-11-01 09:45:00,entry,1
2024-11-01 13:00:00,exit,1
2024-11-01 14:00:00,entry,-1
2024-11-04 13:00:00,exit,1
2024-11-04 13:45:00,entry,1
2024-11-05 09:30:00,exit,1
