trade_date,symbol,entry_day,entry_time,entry_px,exit_day,exit_time,exit_px,ret
2024-08-27,000001.XSHE,2024-08-26,15:00:00,9.95,2024-08-27,14:56:00,9.91,-0.004620100502512447
2024-08-27,600519.XSHG,2024-08-26,15:00:00,1363.54,2024-08-27,14:56:00,1358.52,-0.004281593499273883
2024-08-27,000858.XSHE,2024-08-26,15:00:00,112.86,2024-08-27,14:56:00,112.36,-0.00503026758816234
2024-08-27,000333.XSHE,2024-08-26,15:00:00,63.26,2024-08-27,14:56:00,63.08,-0.0034453999367689107
2024-08-27,159928.XSHE,2024-08-26,15:00:00,0.711,2024-08-27,14:56:00,0.704,-0.010445288326300938
2024-08-28,512690.XSHG,2024-08-27,15:00:00,0.531,2024-08-28,14:56:00,0.518,-0.025082109227871973
2024-08-28,601398.XSHG,2024-08-27,15:00:00,6.27,2024-08-28,14:56:00,6.22,-0.00857448165869219
2024-08-28,512760.XSHG,2024-08-27,15:00:00,0.733,2024-08-28,14:56:00,0.734,0.0007642564802183177
2024-08-28,600000.XSHG,2024-08-27,15:00:00,8.62,2024-08-28,14:56:00,8.58,-0.005240371229698292
2024-08-28,601857.XSHG,2024-08-27,15:00:00,8.81,2024-08-28,14:56:00,8.68,-0.015355959137344066
2024-08-29,510500.XSHG,2024-08-28,15:00:00,4.494,2024-08-29,14:56:00,4.556,0.013196172674677365
2024-08-29,512010.XSHG,2024-08-28,15:00:00,0.314,2024-08-29,14:56:00,0.318,0.01213885350318471
2024-08-29,512760.XSHG,2024-08-28,15:00:00,0.733,2024-08-29,14:56:00,0.742,0.011678308321964637
2024-08-29,000002.XSHE,2024-08-28,15:00:00,6.22,2024-08-29,14:56:00,6.24,0.002615434083601254
2024-08-29,159915.XSHE,2024-08-28,15:00:00,1.501,2024-08-29,14:56:00,1.512,0.006728447701532293
2024-08-30,600837.XSHG,2024-08-29,15:00:00,8.44,2024-08-30,14:56:00,8.6,0.018357345971563955
